13308	13375
17578	17631
17528	17631
17641	17702
17629	17702
17770	17854
17578	17631
17629	17694
17770	17823
17578	17640
17691	17792
17528	17600
17863	17914
17814	17885
17783	17886
17629	17702
17770	17854
17578	17631
18008	18079
17629	17694
17770	17823
17578	17632
17888	17984
17696	17984
17528	17631
17832	17885
17801	17885
17641	17702
18057	18110
18026	18110
18008	18111
17629	17702
17770	17854
17578	17631
18186	18270
18008	18079
17629	17694
17770	17823
17578	17640
18186	18239
17962	18013
17691	17889
18112	18305
17528	17631
17832	17885
17801	17885
17641	17702
18248	18301
18217	18301
18057	18110
18026	18110
18008	18111
17629	17702
17770	17854
18378	18462
17578	17631
18186	18270
18008	18079
17629	17694
17770	17823
18378	18431
17578	17635
18186	18239
18242	18301
18211	18363
18051	18110
18020	18111
17826	17885
17795	17947
17635	17702
18434	18493
17770	17854
18403	18497
18378	18462
17578	17631
18186	18270
18008	18079
17629	17694
18498	18557
17770	17823
18378	18431
17578	17640
18186	18239
17962	18013
17691	17755
18112	18171
17792	17862
17632	17708
18431	18493
18400	18470
18239	18301
18208	18278
18048	18110
18017	18087
18526	18588
18498	18565
17823	17885
17770	17831
18378	18439
17578	17631
18186	18247
14100	14153
14155	14229
14231	14355
14390	14611
14668	14786
26602	26677
26388	26444
26544	26600
26807	26871
26624	26677
26388	26448
26771	26826
27242	27315
26779	26845
26602	26662
26383	26439
26815	26866
27364	27415
27317	27403
27397	27451
27466	27522
27690	27742
27324	27376
26782	26866
26602	26677
27514	27577
27356	27415
27669	27735
26388	26439
27317	27369
27269	27330
26544	26598
27382	27451
26772	26826
27824	27886
27548	27662
29314	29411
27382	27451
26772	26826
27824	27890
27892	27945
27466	27518
27948	28022
27478	27552
27242	27308
28481	28540
28555	28605
28562	28653
28728	28830
27269	27330
26544	26598
28881	28986
26792	26847
27943	27996
26609	26664
28317	28372
27524	27577
29110	29188
30380	30430
27267	27319
28733	28783
29294	29352
27402	27451
29720	29779
27829	27888
29354	29411
29781	29836
27892	28044
27466	27522
30688	30741
29839	29913
27511	27577
26778	26845
26602	26662
28307	28370
30696	30749
29581	29634
29701	29754
29335	29388
31109	31158
27383	27436
26773	26827
30380	30441
27267	27356
30866	30918
28733	28794
26544	26600
27347	27406
28332	28382
27713	27769
26807	26857
26624	26674
30615	30675
30040	30094
27474	27532
27290	27354
31619	31683
27378	27436
26771	26829
29700	29754
31590	31644
29334	29388
27511	27561
31109	31160
28366	28479
30052	30126
27490	27552
27246	27308
28481	28551
30139	30335
28555	28605
28562	28653
27664	27717
26383	26436
28655	28726
28732	28800
30379	30447
27269	27330
31598	31659
30868	30918
26544	26598
30504	30624
28881	28977
30691	30835
31057	31107
26792	26847
27946	27996
26609	26664
28317	28372
27524	27577
31123	31176
29110	29217
30837	30938
30380	30430
27267	27319
32878	32928
31596	31648
28733	28783
29294	29411
29680	29836
27382	27451
26772	26826
32259	32313
31590	31643
30940	30999
27824	27890
31001	31139
27892	28028
27466	27522
30688	30741
33189	33239
29839	29913
31189	31308
31310	31378
31379	31444
31505	31554
26230	26448
32785	32838
28340	28391
27664	27720
26815	26871
27364	27436
26771	26827
29700	29754
32255	32314
31590	31647
33418	33472
29334	29388
31109	31158
30380	30429
27267	27318
32878	32927
30866	30917
33364	33415
28733	28782
26733	26785
26422	26516
26518	26879
28740	28794
30387	30441
27276	27332
32885	32939
31605	31661
28310	28385
27517	27577
31116	31176
26785	26860
30696	30751
33194	33249
31807	31857
27356	27409
34232	34284
27381	27436
34209	34265
29700	29754
32258	32316
31590	31644
33418	33472
29334	29388
27511	27577
31109	31176
26602	26677
28307	28391
34467	34542
30696	30751
33194	33249
31807	31857
27356	27420
34192	34248
27669	27720
26388	26444
30921	30973
26925	27890
30048	30114
32550	32612
27486	27559
30380	30441
34217	34268
32878	32939
31596	31685
30866	30918
33364	33416
28733	28794
34409	34465
26544	26600
32228	32292
28354	28406
27683	27769
28056	28108
31798	31857
34672	34736
28332	28391
34489	34542
26807	26871
34192	34264
26624	26677
27669	27720
26388	26448
26771	26826
29700	29769
